"fecha","construya","itcrm","valor_badlar_porc","indice_serie_original_base_2004","interes_real"
2017-01-01,304.9,90.5636496553746,19.7695454545455,136.632659483162,0.000606010491732922
2017-02-01,281,88.7100166057733,20.0627777777778,132.158516339822,-0.00387311311490168
2017-03-01,343.9,86.534922290649,19.5018181818182,152.620958559057,-0.00731667060914698
2017-04-01,305.6,83.6563296411989,19.2472222222222,151.946344804487,-0.0102468120569896
2017-05-01,340.1,84.1604779955339,19.6347619047619,168.389209469367,0.0019863006400338
2017-06-01,346.6,85.0291474758398,19.8104761904762,161.035685469452,0.00453394745996083
2017-07-01,364.8,91.0278285455977,20.1628571428571,150.30605012392,-0.000511422715365195
2017-08-01,413.6,92.5102863935088,20.8086363636364,149.255342773841,0.00326217291131758
2017-09-01,405.9,90.6957098231169,21.3285714285714,146.386559657753,-0.00118416124009868
2017-10-01,398.5,89.1530543245261,21.647619047619,149.385949666014,0.00284919793743654
2017-11-01,428,87.4897847400126,22.595,151.926042852026,0.00500945305827849
2017-12-01,356.9,86.9451462871892,23.2752631578947,146.783384909224,-0.0116574142669672
2018-01-01,348.5,93.3894203538769,22.9677272727273,142.740912606172,0.00153918751324844
2018-02-01,315.8,96.0242665293199,22.7816666666667,138.818040351657,-0.00508266765752974
2018-03-01,352.2,95.4600278361205,22.813,155.857319535769,-0.00429914646713558
2018-04-01,362.1,92.0542650221352,22.8163157894737,151.524543983943,-0.00815340292148437
2018-05-01,365.3,101.358937164113,28.2866666666667,159.566692377916,0.00276116919818059
2018-06-01,328,109.353976146842,30.5665,151.125763233455,-0.0114662220095419
2018-07-01,337.4,109.439806697038,34.5219047619048,145.963524430004,-0.00218025295720625
2018-08-01,363.8,113.297122238581,35.1686363636364,146.765960034139,-0.00922826409281763
2018-09-01,347.5,136.697026375754,41.8565,137.746569718648,-0.0285940292388832
2018-10-01,329.4,126.657101201662,50.4922727272727,142.843275984567,-0.0112335108047857
2018-11-01,297.7,118.706965201769,51.3663157894737,140.592407325335,0.0109270436271944
2018-12-01,243.6,119.12292318362,48.6355555555556,136.251615969056,0.0144598037456263
2019-01-01,278.6,116.394646636406,45.8136363636364,134.536239856695,0.00885818112585213
2019-02-01,274,116.38915808609,37.5865,132.267888612736,-0.00610427464564611
2019-03-01,294.8,119.631518470374,41.6747368421053,144.963254955749,-0.0115270419537291
2019-04-01,300,120.032984533921,48.7084210526316,149.916221403522,0.00637364688316544
2019-05-01,318.2,119.319322866449,52.5895454545455,164.13569907592,0.0124034621348095
2019-06-01,282.5,114.642325844747,50.8961111111111,150.858971741131,0.0148302839821057
2019-07-01,312.1,109.719031126975,48.6261904761905,146.77702964007,0.0181443809145738
2019-08-01,336.4,127.623608306826,55.4447619047619,141.27693468084,0.00641063479483406
2019-09-01,324.2,130.590296676851,59.9547619047619,134.877066479936,-0.00839992964398084
2019-10-01,358.3,129.672460785204,55.1236363636364,141.639336617013,0.0125869923864801
2019-11-01,335.5,126.852311416955,45.9884210526316,137.771829669331,-0.00404940541987597
2019-12-01,266.2,123.504694726192,41.9552631578947,135.765154527635,-0.00238506442098463
2020-01-01,267.8,120.737385217965,36.1513636363636,133.891086089572,0.00742980148246208
2020-02-01,258,118.821303307636,33.5883333333333,128.973638746598,0.00769895560972711
2020-03-01,178.3,114.386610773552,29.5657894736842,128.211060740256,-0.00851193467515221
2020-04-01,77,111.479609695714,19.986,113.295034445801,0.00166436565112771
2020-05-01,210,111.662310682506,23.4378947368421,131.029569197349,0.00404186117737426
2020-06-01,287.4,116.542944893658,29.5361904761905,132.521965266488,0.00213030621800492
2020-07-01,354.4,117.892360210071,29.5338095238095,127.463689469795,0.00516957189715694
2020-08-01,344.3,118.882820488809,29.6545,125.183893759847,-0.00222883914080019
2020-09-01,384.2,119.582265658795,29.7454545454545,127.17507609335,-0.00346897416843661
2020-10-01,414.8,118.104705360551,30.697619047619,131.345501894521,-0.0115923639221558
2020-11-01,380.6,119.552339201264,32.9421052631579,132.068655252993,-0.00401832772531541
2020-12-01,314.4,123.171200766193,34.2161111111111,133.854365594615,-0.0110977207787925
2021-01-01,332.1,122.781809414904,34.1225,131.521537397348,-0.0115857664399541
2021-02-01,323,122.331729970186,34.1027777777778,126.239266968376,-0.00707444980917049
2021-03-01,363.3,119.012664092465,34.0695454545455,145.956900103604,-0.0188117881686289
2021-04-01,359.5,116.753896425911,34.098,147.280844018623,-0.0119022871460681
2021-05-01,336.6,117.239137981655,34.1173684210526,151.169322338691,-0.00464431095094664
2021-06-01,371.5,116.953091704127,34.1214285714286,148.979617108605,-0.00320908209859116
2021-07-01,380.7,113.740132638795,34.1338095238095,142.425913060973,-0.00148110280589497
2021-08-01,383.3,111.908206740472,34.1595238095238,140.974940728036,0.00369030839650164
2021-09-01,405.2,110.08951851083,34.1613636363636,141.296089089409,-0.00676030289415364
2021-10-01,393.9,105.658663401504,34.1442105263158,139.514758696892,-0.00648133795604966
2021-11-01,405.7,103.812161763725,34.1780952380952,143.751877617714,0.00310847231147493
2021-12-01,362.8,101.814226770556,34.2015,147.229878322095,-0.00953241129524474
2022-01-01,345.1,101.557222504603,36.927619047619,139.637961624902,-0.00768592142716318
2022-02-01,357,102.636833849736,38.3168421052632,137.849513530395,-0.0143397919931226
2022-03-01,396.7,101.52140882716,40.542380952381,153.930850776312,-0.0313904602681336
2022-04-01,390.9,100.204433997477,43.2747368421053,157.661692116283,-0.0230188850146662
2022-05-01,393.3,96.6569560474291,45.524,164.689363089987,-0.011961529414134
2022-06-01,389.6,95.7901726125928,48.207,161.454834362472,-0.0121370299282068
2022-07-01,412.6,91.8628775768194,51.072380952381,152.445387694764,-0.029329454010154
2022-08-01,429.7,91.6997995216437,60.49,151.465739025198,-0.0180377319716127
2022-09-01,413.8,89.2658745361887,66.49,149.17434933724,-0.00588408133738094
2022-10-01,394,88.35930832599,69.0636842105263,146.554394989072,-0.0055670695183706
2022-11-01,385.2,90.101950512253,69.18,148.030494435219,0.00809077479246079
2022-12-01,316.7,93.212045672232,69.301,146.180808004896,0.00618766232125489
2023-01-01,346.7,95.1413117370102,69.4695454545455,143.030190287808,-0.00225171712376171
2023-02-01,318.9,94.7714362933825,69.775,137.262027112065,-0.0076259563158162
2023-03-01,360.5,93.5909521514119,70.9809090909091,155.060567636349,-0.016346971640494
2023-04-01,342.5,93.813056513539,74.2372222222222,150.021084921151,-0.0204446467229189
2023-05-01,357.2,93.0530965873998,90.048,153.772405702969,-0.00249370048082243
2023-06-01,360.5,93.9694767566835,92.4475,152.557031890549,0.0165466029861414
2023-07-01,358.1,95.853909540258,92.6028571428571,150.222973708495,0.01290193073255
2023-08-01,397.5,104.830690002311,104.018636363636,151.942038157496,-0.0335589031602791
2023-09-01,376.5,100.672060855737,113.736666666667,148.432243240862,-0.0290173111077189
2023-10-01,413.5,89.633017698889,122.082,147.50696056698,0.0172828306387161
2023-11-01,367,83.1984730012036,129.351,146.359495292439,-0.018007514835074
2023-12-01,261.6,124.873797242801,121.172631578947,139.335765898049,-0.122487331199725
2024-01-01,224.6,132.782559491843,109.169090909091,137.546027779234,-0.0954845999213233
2024-02-01,237.2,115.750597702126,108.896315789474,133.637224020505,-0.036788751323769
2024-03-01,216.2,105.870263882143,85.4163157894737,142.568619918428,-0.0350570610970294
2024-04-01,228.8,97.0224645129057,62.669,147.265122631245,-0.0331658585892106
2024-05-01,250.6,93.430395156915,35.5877272727273,156.77658295329,-0.0116188029300009
2024-06-01,245.3,89.9006182837459,33.4282352941176,147.365172093703,-0.0171324250712307
2024-07-01,299.1,87.8801977770383,36.9077272727273,149.697535659285,-0.00918274711012257
2024-08-01,317.6,87.1561892750225,38.8459090909091,147.327577143307,-0.00897661305667796
2024-09-01,293.7,86.0462340519884,39.3833333333333,144.84377067736,-0.00180984916954718
2024-10-01,296.5,84.0456314822033,40.5090909090909,147.994623052318,0.00666090132948116
2024-11-01,275.9,81.7459358338856,36.1721052631579,148.069358256608,0.0057386097148624
2024-12-01,244.2,79.7909683990683,32.8768421052632,148.567397819954,0.000346946122270264
2025-01-01,247.2,79.7063414100318,31.4986363636364,146.295979883683,0.0040488612338252
2025-02-01,248,81.048180704751,28.4795,141.202244544414,-0.000276712048392747
2025-03-01,250.4,80.4988436531489,29.5083333333333,150.406305877726,-0.0122463671928438
2025-04-01,287.8,82.326316824492,33.1552631578947,158.740296133668,-0.000174130208347001
2025-05-01,272.9,83.8966293453809,32.7535,164.877557847577,0.0121018352949787
2025-06-01,280.5,86.121041707982,32.1626315789474,156.595165790575,0.0104438658201189
2025-07-01,299.5,91.7699038686095,32.4986363636364,153.947892498903,0.007914844111653
2025-08-01,300,95.0477811620089,48.0335,150.566350777516,0.0208783468771647
2025-09-01,312.9,99.1049922549784,48.4309090909091,151.790603747929,0.0192008849168559
2025-10-01,326.3,98.9006243880176,46.1690909090909,152.770484952548,0.014710304440146
2025-11-01,260.8,96.0088355172616,32.0264705882353,147.607990452717,0.00191224060532313
